Spanish,Polish
supuesto,przypuszczalny
tomar,Brać
equipo,sprzęt
justo,sprawiedliwy
juego,gra
ninguna,nic
matar,zabić
cinco,pięć
dicen,Mówią
amo,Miłość
cuándo,Kiedy
pequeño,mały
algunos,Niektóre
conozco,wiedzieć
clase,klasa
maldito,cholernie
unas,paznokcie
muchos,wiele
hubiera,miał
segundo,drugi
aunque,Chociaż
pueda,Mogę
dime,Powiedz mi
igual,równy
comida,posiłek
ay,Oh
cuerpo,ciało
encontrar,znajdować
fuerte,mocny
vuelta,okrążenie
venga,Pospiesz się
creer,uważać
realidad,rzeczywistość
saben,Oni wiedzą
puta,suka
deberías,powinieneś
pregunta,zapytać
fui,byłam
cuatro,cztery
sra,pani
primer,Pierwszy
trabajar,praca
e,I
hagas,ty robisz
alto,wysoki
maldita,cholernie
comer,jeść
número,numer
dar,dawać
necesitas,potrzebujesz
john,Jan
oportunidad,szansa
punto,miejsce
misma,To samo
última,ostatni
afuera,poza
mujeres,kobiety
pensar,myśleć
fueron,był
difícil,trudny
vivir,na żywo
paso,przeszedł
malo,zły
estabas,Ty byłeś
vivo,żywy
haga,robić
queda,zostaje
hijos,dzieci
mayor,osoby starsze
fiesta,impreza
hacen,Do
medio,połowa
algunas,Niektóre
basta,Wystarczająco
ei,Ei
arma,broń
vino,wszedł
meses,miesiące
cuarto,pokój
éste,Ten
escuela,szkoła
esté,Ten
dólares,Dolary
tío,wujek
posible,możliwy
tuve,miałem
fácil,łatwy
preocupes,martwić się
jack,Jacek
luz,światło
eran,był
carajo,pierdolić
final,finał
lista,lista
trata,Przysmaki
armas,bronie
hermana,siostra
exactamente,Dokładnie
chicas,dziewczyny
podía,mógł
bastante,całkiem
seguridad,bezpieczeństwo
pasando,pójście
esperando,przy nadziei
acá,Tutaj
teléfono,telefon
perro,pies
fuego,ogień
murió,zmarł
tampoco,żaden
sola,sam
estuvo,był
verte,by zobaczyć Ciebie
iré,pójdę
tenido,miał
culpa,winić
veras,zobaczysz
adónde,gdzie
buscando,badawczy
cuanto,ile
padres,rodzice
paz,pokój
demonios,Demony
estará,będzie
cual,Który
perdón,Przepraszam
asi,Więc
jugar,grać
pensando,myślący
esperar,Czekać
sabemos,wiemy
recuerdo,pamięć
par,para
joven,młody
seguir,Kontynuować
pueblo,miasto
tenga,Posiadać
caballeros,Panowie
idiota,kretyn
dio,dał
minuto,minuta
bebé,Dziecko
única,tylko
lejos,daleko
nuestras,nasz
plan,plan
pienso,"Myślę, że"
sentido,sens
dormir,spać
digas,mówisz
palabra,słowo
correcto,prawidłowy
control,kontrola
vemos,widzimy
entiendes,rozumiesz
país,kraj
seis,sześć
último,ostatni
ésta,Ten
diga,Mowić
podrías,mógłbyś
pequeña,mały
cállate,bądź cicho
trato,umowa
rey,król
sucede,dzieje się
sam,Sam
muchachos,chłopcy
jamás,nigdy
cama,łóżko
srta,SM
ayudar,pomoc
acerca,o
di,dał
cambio,zmiana
falta,brak
hospital,szpital
lleva,nosić
presidente,prezydent
mil,tysiąc
gusto,smak
conoces,"Wiesz, że"
diciendo,powiedzenie
os,Ty
ido,stracony
general,ogólny
extraño,dziwny
semanas,tygodnie
coche,samochód
peor,gorzej
mucha,bardzo
disculpe,Przepraszam
diré,ja powiem
anoche,Ostatnia noc
perder,stracić
vámonos,chodźmy
nave,statek
cielo,Kochanie
habrá,tam będzie
orden,zamówienie
segura,bezpieczna
querida,Droga
niña,mała dziewczynka
michael,Michael
increíble,niesamowity
además,Oprócz
deben,Oni muszą
libro,książka
calle,ulica
café,Kawa
piensas,Myślisz
hacemos,robimy
especial,specjalny
queremos,chcemy
ia,IA
clark,Clark
irme,Iść
perfecto,doskonały
buscar,szukać
odio,nienawidzić
piensa,myśleć
oficina,biuro
hablas,mówić
libre,bezpłatny
agente,agent
york,York
llamar,dzwonić
mala,zły
detrás,za
viste,sukienki
dile,Powiedz mu
grandes,duży
recuerdas,Pamiętać
real,prawdziwy
estaban,był
mía,kopalnia
frente,czoło
perdido,zaginiony
llamo,zwany
muertos,martwy
millones,miliony
asesino,zabójca
sueño,marzenie
quisiera,chciałbym
habría,byłoby
hará,zrobi
viaje,podróż
probablemente,prawdopodobnie
peter,Piotr
resto,odpoczynek
estaré,będę
maldición,przekleństwo
lamento,lament
muchacho,młody gość
avión,samolot
ropa,odzież
fuerza,siła
llamado,zwany
oído,ucho
frank,Szczery
dado,dany
encima,NA
negro,czarny
usar,nosić 
información,Informacja
uds,Ty
preguntas,pytania
tuvo,miał
secreto,sekret
vuelve,wraca
miren,Patrzeć
quieras,Chcesz
haría,zrobiłaby
acaba,Tylko
otras,inni
incluso,nawet
sientes,czujesz
deberíamos,powinniśmy
haz,Belka
decirte,Powiedz ci
boca,usta
dolor,ból
baño,łazienka
adentro,wewnątrz
profesor,nauczyciel
habitación,pokój
daño,szkoda
tuyo,twój
seas,Jesteś
noticias,Aktualności
demás,reszta
querido,Kochanie
duro,twardy
poner,umieścić
prueba,dowód
mire,Patrzeć
tonto,głupi
campo,pole
siendo,istnienie
diez,dziesięć
ése,To
tranquilo,Nie martw się
asunto,romans
acabó,Tylko
quédate,zostawać
derecho,Prawidłowy
placer,przyjemność
recuerda,Pamiętać
estuve,byłem
tratando,leczenie
ejército,armia
futuro,przyszły
llevar,nosić
compañía,firma
venido,przychodzę
listos,Gotowy
haremos,będzie
sitio,miejsce
verlo,Zobacz go
puesto,pozycja
atención,uwaga
sino,Ale
cambiar,zmiana
error,błąd
blanco,biały
raro,queer
palabras,słowa
llegó,przyjechać
sal,sól
pase,dzieje się
mente,umysł
sistema,system
película,film
anda,chodzić
ello,To
negocio,biznes
novia,panna młoda
permiso,pozwolenie
creí,wierzyłem
suena,Dźwięki
ocurre,występuje
oficial,urzędnik
espere,Czekać
aire,powietrze
george,Jerzy
mató,zabity
harry,Złupić
regresar,Wróć
vio,piła
hazlo,Zrób to
trasero,tył
grupo,grupa
entendido,zrozumiany
señorita,Chybić
música,muzyka
perra,suka
conoce,znany
empezar,zaczynać
siente,Czuć
acabo,Tylko
estúpido,idiota
diferente,różny
traje,garnitur
modo,tryb
james,James
encontré,znalazłem
mensaje,wiadomość
llamada,dzwonić
navidad,Boże Narodzenie
eras,wieczność
pena,smutek
largo,długi
entra,wchodzi
piso,podłoga
foto,zdjęcie
dijeron,Oni powiedzieli
médico,lekarz
accidente,wypadek
fuiste,ty byłeś
imposible,niemożliwe
podríamos,moglibyśmy
línea,linia
propia,własny
barco,statek
ganar,osiągać
normal,normalna
segundos,sekundy
vive,zyje
mitad,połowa
quiera,chcieć
tras,Po
decirle,Powiedz mu
lindo,Ładny
funciona,Pracuje
programa,program
vine,wszedł
abre,otwiera się
sean,Sean
pagar,płacić
fotos,zdjęcia
centro,Centrum
supone,Przypuszcza
basura,śmieci
situación,sytuacja
mejores,szczyt
vienen,przyszli
encanta,kocha
marido,mąż
personal,personel
maestro,nauczyciel
hambre,głód
ataque,udar
culo,tyłek
dale,Zacząć robić
pie,stopa
conseguir,Dostawać
trabajando,pracujący
gracioso,śmieszny
dejó,pozwalać
pudo,mógł
derecha,Prawidłowy
izquierda,lewy
próxima,Następny
pobre,słaby
respuesta,odpowiedź
tipos,Chłopaki
sentir,czuć
tenías,Miałeś
pude,mógł
darle,daj mu
voz,głos
amiga,przyjaciel
gustan,tak jak
vista,pogląd
salvo,z wyjątkiem
loca,zwariowany
hotel,hotel
hicieron,oni zrobili
ten,Dziesięć
temo,Boję się
señal,podpisać
pelo,włosy
llevo,wziął
ayer,Wczoraj
das,dajesz
nena,pisklę
servicio,praca
tren,pociąg
tom,Tomek
bonito,ładny
mes,miesiąc
tendrá,będzie miał
tendrás,będziesz miał
edad,wiek
ellas,Oni
hermosa,Piękny
ben,Ben
honor,honor
simplemente,po prostu
llamas,połączenia
tengas,Mieć
corre,bierze
baja,Niski
sol,słońce
siéntate,Usiądź
dan,dawać
humano,człowiek
divertido,zabawa
sexo,seks
vuelto,obrócony
peligro,niebezpieczeństwo
mesa,tabela
jimmy,Jimmy
siguiente,następny
hablo,mówić
disculpa,Przepraszam
decirme,Powiedz mi
joe,Joe
caja,skrzynka
negocios,biznes
misión,misja
silencio,cisza
sale,wychodzi na jaw
llegado,przybył
estaría,Byłoby
regreso,powrót
media,połowa
estan,Czy
propio,własny
charlie,Charlie
oro,złoto
enseguida,od razu
linda,Piękny
prometo,obiecuję
esposo,mąż
norte,północ
hubo,był
juro,przysięgam
muerta,martwy
interesante,ciekawy
pensaba,myśl
busca,szuka
terminar,skończyć
tendré,będę miał
completamente,całkowicie
cita,spotkanie
siete,siedem
cumpleaños,urodziny
abogado,prawnik
alrededor,wokół
cerebro,mózg
porqué,ponieważ
llave,klucz
santo,święty
hermoso,Piękny
necesario,niezbędny
edificio,budynek
irnos,Iść
aun,Nadal
tendremos,będziemy mieli
vayas,Iść
doy,dawać
trae,Przynieść
salió,wyszedł
ley,prawo
ahi,Tam
verdadero,PRAWDA
pelea,walka
banco,Bank
terrible,straszny
calma,spokój
cena,kolacja
daré,ja dam
gobierno,rząd
comprar,kupić
creen,Uważają
sargento,sierżant
destino,miejsce docelowe
bob,Pion
existe,istnieje
hacía,w kierunku
novio,chłopak
sala,hala
través,Poprzez
regalo,prezent
iglesia,kościół
decía,Powiedział
cualquiera,każdy
excelente,doskonały
esperen,Czekać
deseo,pragnienie
alma,dusza
diablo,Diabeł
deje,Zostawić
cuántos,ile
espada,miecz
estábamos,Byliśmy
carne,mięso
maravilloso,cudowny
vidas,zyje
sucedió,stało się
oí,słyszałem
peligroso,niebezpieczny
dirección,adres
libertad,wolność
jesús,Jezus
ocurrió,wystąpił
veré,zobaczę
sueños,sny
pudiera,mógł
detective,detektyw
sorpresa,niespodzianka
tuya,twój
pies,stopy
club,Klub
terminado,skończone
infierno,piekło
creía,wierzyłem
luna,księżyc
salvar,ratować
carta,list
estés,Być
cielos,Niebiosa
teniente,porucznik
encuentra,znaleziska
david,David
veamos,Zobaczmy
quise,Chciałem
escúchame,Posłuchaj mnie
necesitan,Oni potrzebują
ambos,Zarówno
decisión,decyzja
roma,Rzym
enemigo,wróg
hicimos,zrobiliśmy
éi,éi
dulce,słodki
pruebas,dowód
querías,Chciałeś
abuelo,Dziadek
totalmente,całkowicie
mirando,patrząc
vayan,Iść
carrera,kariera
vuelo,lot
ante,ze względu na
bienvenido,Witamy
harás,zrobisz
encontramos,znaleźliśmy
encontrado,znaleziony
contacto,kontakt
posición,pozycja
saberlo,wiedzieć
planeta,planeta
humanos,Ludzie
coronel,pułkownik
junto,razem
diría,powiedziałbym
ésa,To
base,baza
oír,słyszeć
suelo,podłoga
pelear,walka
ayudarte,pomóc Ci
pistola,pistolet
frío,zimno
comandante,dowódca
partes,Imprezy
llega,przybywa
verás,zobaczysz
sur,południe
iremos,pójdziemy
rato,chwila
mar,morze
espacio,przestrzeń
asesinato,morderstwo
ventana,okno
prisa,spieszyć się
tienda,sklep
cámara,kamera
puedas,Możesz
según,według
broma,żart
reunión,spotkanie
despierta,budzić się
sacar,Na wynos
tí,Ty
segunda,drugi
papel,papier
locura,szaleństwo
departamento,dział
horrible,okropny
enfermo,chory
pregunto,spytał
cárcel,więzienie
órdenes,Zamówienia
intento,wypróbowany
isla,wyspa
salida,Wyjście
llamó,zwany
volveré,wrócę
usa,użycie
gato,kot
paul,Paweł
hagan,Do
dejes,Wyjechać
duele,boli
vengan,przychodzić
crimen,przestępczość
esperaba,oczekiwałem
causa,przyczyna
bar,bar
seré,będę
ocho,osiem
temprano,wczesny
río,rzeka
relación,relacja
drogas,Narkotyki
luces,światła
bromeando,żartowanie
ojalá,Chciałbym
hablamos,porozmawiamy później
trabaja,Pracuje
irse,Zostawić
libros,książki
radio,radio
mary,Mary
ray,Promień
bill,Rachunek
vienes,Przyjeżdżacie
quedan,Pozostają one
excepto,z wyjątkiem
brazo,ramię
tome,Brać
rojo,czerwony
conocido,znajomy
universidad,Uniwersytet
investigación,dochodzenie
batalla,bitwa
reglas,zasady
cargo,post
hogar,dom
ninguno,nic
dieron,Dali
vuelva,Powrót
sabías,Wiedziałaś
respeto,Szanuję
estación,pora roku
corte,sąd
paciente,pacjent
encuentro,spotkanie
energía,energia
dejado,lewy
baile,taniec
fbi,FBI
abuela,babcia
caliente,gorący
vieja,stary
viendo,widzenie
veremos,zobaczymy
rayos,Wielkie nieba
simple,prosty
bailar,taniec
papa,tata
triste,smutny
zona,strefa
serás,będziesz
guardia,strażnik
canción,piosenka
salud,zdrowie
escuchar,słyszeć
parar,stoisko
mike,Mikrofon
estarás,Będziesz
cenar,jeść obiad
max,Max
soldados,żołnierski
caballo,koń
serán,będzie
estaremos,będziemy
interesa,zainteresowania
volar,latać
principio,zasada
nivel,poziom
cálmate,Spokojnie
conocer,wiedzieć
finalmente,Wreszcie
alegro,zadowolony
debajo,poniżej
podrían,mógł
bosque,las
bonita,ładny
bolsa,torba
pone,miejsca
taxi,taksówka
ocupado,zajęty
amable,delikatny
ryan,Ryan
acaso,być może
detente,zatrzymywać się
imbécil,głupiec
san,święty
equivocado,błędny
viva,na żywo
puso,umieścić
obra,budowa
consejo,rada
público,publiczny
ayúdame,Pomóż mi
animales,Zwierząt
azul,niebieski
apuesto,przystojny
prisión,więzienie
mirar,Patrzeć
inteligente,inteligentny
metros,metry
fantástico,fantastyczny
próximo,Następny
jugando,gra
ojo,oko
salga,na zewnątrz
vea,Widzieć
llaman,Oni dzwonią
entrada,wejście
duda,wątpliwość
cerveza,piwo
unidos,Dołączył
matado,zabity
princesa,księżniczka
perdí,Spóźniłam się
entender,zrozumieć
santa,Święty
quedar,poznać
miles,Tysiące
llamaré,zadzwonię
compañero,kumpel
pensado,wymyślony
espalda,z powrotem
dejé,Zostawić
bomba,bomba
alex,Alex
cartas,karty
apenas,ledwie
leer,Czytać
hermanos,rodzeństwo
darme,daj mi
papi,Tatuś
mantener,trzymać
suyo,twój
rico,bogaty
verla,Zobacz to
lee,Czytać
bobby,Konstabl
sigues,Czy wciąż jesteś
toca,dotknięcia
olvídalo,zapomnij o tym
acción,działanie
hayas,Być
dioses,bogowie
mando,Komenda
dejaré,opuszczę
llegue,przybyłem
formas,kształty
uh,Uh
henry,Henz
cierra,Zamknąć
damas,damski
puente,most
memoria,pamięć
regresa,wrócił
muévanse,przenosić
parecía,wyglądał jak
vestido,sukienka
llaves,Klucze
tv,telewizja
camión,ciężarówka
acabar,skończyć
robot,robot
llevó,wziął
montón,działka
estuviste,Ty byłeś
máquina,maszyna
puertas,drzwi
podamos,możemy
muere,Idź martwy
trago,drink
mayoría,bardzo
reina,królowa
lleno,pełny
inglés,język angielski
don,Przywdziewać
soldado,żołnierz
estrella,gwiazda
escuche,Słuchać
valor,wartość
pido,pytam
delante,przed
código,kod
héroe,bohater
fe,wiara
capaz,zdolny
verme,Zobacz mnie
beber,pić
velocidad,prędkość
darte,dać Ci
llevas,Nosisz
partido,gra
estuviera,byłam
tony,Tony
lex,Lex
dia,dzień
opinión,opinia
irte,Iść
cocina,kuchnia
abrir,otwarty
perros,psy
tambien,Również
sepa,Wiedzieć
pareces,Wydajesz się
escribir,pisać
golpe,huk
tenia,miał
alta,wysoki
estados,państwo
tocar,uzyskiwać
vuelvo,wrócę
habían,Byli
ganas,pragnienie
hacerte,Zrób cię
dejo,pozwalać
volvió,zawrócił
ejemplo,przykład
robert,Robert
contar,liczyć
tenían,Oni mieli
propósito,zamiar
entiende,rozumie
empieza,zaczynać
anillo,pierścień
londres,Londyn
tendría,miałby
pedir,zapytać
estilo,styl
ayudarme,Pomóż mi
pista,wskazówka
cambiado,zmienione
escapar,ucieczka
eeuu,USA
encontró,znaleziony
espíritu,duch
viejos,stary
molesta,Badania
nota,notatka
diferencia,różnica
tratar,traktować
precio,cena
caballero,pan
sirve,służy
alegra,Alegra
doble,podwójnie
agradable,przyjemny
embargo,embargo
tengan,Posiadać
tuvimos,Mieliśmy
sube,idzie w górę
estén,Czy
mami,mamusia
emergencia,nagły wypadek
cuello,szyja
boda,ślub
aprender,uczyć się
pete,Pete
té,herbata
informe,raport
blanca,biały
experiencia,doświadczenie
debía,powinien
podido,Ja mam
mentira,kłamstwo
director,dyrektor
mata,Krzak
exacto,dokładny
eddie,Eddie
déjalo,Zostaw to w spokoju
defensa,obrona
tuviste,Widziałeś
confiar,polegać
color,kolor
bond,Obligacja
hacerle,Do
aquel,To
conocí,spotkałam się
probar,udowodnić
príncipe,Książę
irá,zamierzać
sóio,Sóio
ai,ai
despacio,powoli
tiro,strzał
vacaciones,wakacje
perdió,zaginiony
fondo,tło
chris,Chris
verde,zielony
parecen,wyglądają na
mama,matka
bienvenida,Witamy
opción,opcja
operación,operacja
jim,Jim
hablado,Mówiony
traer,przynieść
principal,główny
demonio,diabeł
zapatos,buty
leo,Lew
anna,Ania
respecto,szacunek
nuevos,nowy
especie,gatunek
pidió,spytał
éxito,powodzenie
cabrón,bękart
mírame,Spójrz na mnie
piernas,nogi
unidad,jednostka
hielo,lód
llegamos,dotarliśmy
déjeme,Zostaw mnie
ios,iOS
debí,Debí
vendrá,przyjdzie
matrimonio,małżeństwo
habías,Ty byłeś
podrá,Móc
piel,futro
preocupa,zmartwienia
quedarme,zostawać
mio,kopalnia
tuviera,miał
tiempos,czas
richard,Richard
quienes,Kto
oiga,Słuchać
últimos,ostatni
oigan,Hej
fuimos,wszedł 
arte,sztuka
necesitaba,potrzebne
quiénes,Kto
común,wspólny
intentando,próbować
llevaré,Będę nosić
levántate,Wstawać
correr,uruchomić
brillante,jasny
calor,ciepło
planes,Plany
dra,Dra
visita,odwiedzać
presión,ciśnienie
pared,ściana
esperanza,mieć nadzieję
completo,kompletny
subir,zwiększyć
cansado,zmęczony
llame,dzwoniłem
recordar,Pamiętać
trampa,pułapka
monstruo,potwór
bajar,niżej
pierna,noga
señores,Sirs
tomó,wziął
pasará,to się stanie
mataste,Matas
grandioso,wspaniały
socio,partner
herido,ranny
cayó,ściąć
fuerzas,siły
nick,Nacięcie
cine,kino
escena,scena
tía,ciotka
danny,Danny
dando,dający
puntos,zwrotnica
teníamos,mieliśmy
dejaste,Ty odszedłeś
muévete,pójść dalej
larga,długi
solía,wykorzystywany do
tema,wydanie
preparado,przygotowany
depende,zależy
policías,Policja
solos,sam
matarme,Zabij mnie
mark,Ocena
pon,umieścić
hubiese,byłoby
bebe,Dziecko
tanta,Aż tak bardzo
oeste,Zachód
parís,Paryż
viento,wiatr
jóvenes,Młodzież
hacerme,zmuś mnie
asiento,siedziba
carter,miska olejowa
washington,Waszyngton
estupendo,Świetnie
caminar,chodzić
juicio,osąd
creerlo,Uwierz w to
carga,ciężar
tranquila,spokojny
banda,zespół
estarán,będzie
animal,zwierzę
escuchen,Słuchać
bush,Krzak
encontraron,Znaleźli
dejas,pozwalasz
tarjeta,karta
ibas,Ty byłeś
podrás,możesz
nueve,dziewięć
seguramente,pewno
volverá,Wrócić do
majestad,majestat
llena,pełny
caer,jesień
aeropuerto,Lotnisko
vayamos,Chodźmy
tommy,Tommy
acabado,skończyć
sigo,podążam
enorme,ogromny
área,obszar
muevas,przenosić
haberlo,Posiadać
dejen,Wyjechać
ridículo,śmieszny
reloj,zegar
hagamos,Zróbmy
flores,kwiaty
mapa,mapa
culpable,winny
cuentas,Konta
pareja,para
tomando,nabierający
m,M
laboratorio,laboratorium
beso,pocałunek
empezó,zaczęło się
pedí,Zapytałam
nariz,nos
cuestión,pytanie
terminó,termin
vengo,przychodzić
the,.
perdona,Przepraszam
acuerdas,Zgadzasz się
verano,lato
prefiero,woleć
peso,waga
billy,Menażka
oscuridad,ciemność
diferentes,różny
cliente,klient
charles,Charles
cuántas,ile
televisión,telewizja
suya,jej
prensa,naciskać
johnny,Jasio
vistazo,zerknąć
inmediatamente,natychmiast
solamente,tylko
gordo,tłuszcz
quedarse,zostawać
posibilidad,możliwość
medicina,medycyna
malditos,Cholera
pantalones,spodnie
mataron,Oni zabili
ayude,pomoc
podremos,będziemy mogli
locos,zwariowany
nombres,Nazwy
superman,Nadczłowiek
parecer,wydaje się
américa,Ameryka
definitivamente,zdecydowanie
cinta,taśma
desea,chce
brazos,ramiona
asuntos,spraw
riesgo,ryzyko
escuché,Słuchać
lugares,miejsca
i,Siema
cuento,opowieść
noticia,Aktualności
dígame,Powiedz mi
decirlo,Powiedz to
tonterías,gówno
sentimientos,uczucia
objetivo,cel
pasada,przechodzić
arreglar,zorganizować
casado,żonaty
bote,łódź
roja,Czerwony
leyes,Prawa
millón,milion
árbol,drzewo
hable,Rozmawiałem
proyecto,projekt
nervioso,Wysoce uderzone
lana,wełna
salido,wyszedł
pedazo,sztuka
malas,zły
joder,pierdolić
humana,człowiek
absolutamente,absolutnie
evitar,unikać
corriendo,w pośpiechu
bala,pocisk
vosotros,Ty
despues,Po
debido,należny
confianza,zaufanie
especialmente,zwłaszcza
intenta,Próbować
pequeños,maluchy
paga,płacić
ganado,bydło
ama,Miłość
limpio,czysty
comenzar,zaczynać
ángeles,Anioły
robots,Roboty
lleve,Zaniosłem
ruido,hałas
preocupe,martwić się
jason,Jason
belleza,uroda
salgan,schodzić
come,jeść
verá,Zobaczysz
deberían,Oni powinni
líder,lider
preguntar,zapytać
inocente,niewinny
andy,Andy
lástima,szkoda
red,siatka
enfermedad,choroba
desgraciado,niefortunny
harán,Oni zrobią
